Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.96875, 0.0, 0.0
1, -0.983488525390625, 0.983488525390625, -1.957944580078125, 0.11423429589843752, 3.6671032939921137e-09
1.5, -0.94961669921875, 0.94961669921875, -1.8709287109375, 0.7339075625000001, 3.2064178311783405e-09
2, -0.80349755859375, 0.80349755859375, -1.539206298828125, 10.94062306616211, 3.8631206050922625e-08
2.25, -0.58037158203125, 0.58037158203125, -1.231666748046875, 37.48835462017746, 2.390430987191697e-07
2.5, -0.362016845703125, 0.362016845703125, -0.958740966796875, 56.17012952984376, 5.650515469710808e-07
2.75, -0.243693603515625, 0.243693603515625, -0.773232421875, 51.23823042355372, 5.062610811875241e-07
3, -0.15531494140625, 0.15531494140625, -0.64496484375, 43.721611960069446, 4.616291238764662e-07
3.5, -0.109017578125, 0.109017578125, -0.477947265625, 28.764207941326532, 2.111340972157765e-07
4, -0.076986572265625, 0.076986572265625, -0.369791748046875, 20.039476691345214, 1.2600338388028831e-07
4.5, -0.060709716796875, 0.060709716796875, -0.29347314453125, 14.837312579282408, 8.083675649946982e-08
5, -0.04816650390625, 0.04816650390625, -0.235966552734375, 10.916951235898434, 5.7621035928605123e-08
5.5, -0.04655859375, 0.04655859375, -0.1925498046875, 9.531902316115703, 4.515431307194646e-08
6, -0.045125732421875, 0.045125732421875, -0.155740478515625, 7.509589936821832, 3.263517480465655e-08
