Temperatura, Magnetizacion promedio superior, Magnetizacion promedio inferior, Energia promedio, Calor especifico, Susceptibilidad magnetica
0.5, -1.0, 1.0, -1.9375, 0.0, 0.0
1, -0.9681474609375, 0.9681474609375, -1.9214609375, 0.08311025, 5.496494052931667e-08
1.5, -0.9093408203125, 0.9093408203125, -1.8313818359375, 0.4005221788194444, 7.363900852700073e-08
2, -0.7218671875, 0.7218671875, -1.4774345703125, 3.0907866708984373, 6.192139275372029e-07
2.5, -0.231849609375, 0.231849609375, -0.8817822265625, 5.429792484374999, 1.3231343480944634e-06
2.75, -0.1595810546875, 0.1595810546875, -0.720744140625, 4.835118923553719, 8.539297658919302e-07
3, -0.1053427734375, 0.1053427734375, -0.6040556640625, 3.861935412760417, 5.84969212145855e-07
3.5, -0.0722685546875, 0.0722685546875, -0.4518974609375, 2.3931552777423475, 2.8955643696292325e-07
4, -0.059318359375, 0.059318359375, -0.3502568359375, 1.6009832595214841, 1.5326512034516783e-07
4.5, -0.0478046875, 0.0478046875, -0.280267578125, 1.252347986882716, 1.0179635588033701e-07
5, -0.0496005859375, 0.0496005859375, -0.22491796875, 1.0470975224999999, 7.343689573928714e-08
5.5, -0.047615234375, 0.047615234375, -0.1828740234375, 0.8282597922262399, 5.354201861403204e-08
6, -0.0435703125, 0.0435703125, -0.14983203125, 0.6719768680555558, 4.195370897650718e-08
